geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
1	CR44185	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
2	CG11912	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
3	CG11911	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
4	CG33127	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
5	Ptth	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
6	snoRNA:Me28S-U1230	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
7	CG43349	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
8	CG5011	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
9	CG14346	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
10	CG17650	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
11	lectin-22C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
12	CG16995	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
13	CG34448	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
14	CG34447	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
15	v(2)k05816	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
16	CG3332	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
17	CG33282	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
18	CG3285	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
19	CG2772	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
20	CG34176	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
21	Art2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
22	CG15629	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
23	Jon25Biii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
24	CR44985	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
25	CG11149	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
26	Ugt37b1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
27	slam	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
28	CG11327	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
29	CG17376	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
30	CG11236	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
31	Nha1	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
32	Wnt10	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
33	CR43857	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
34	mir-305	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
35	CG18585	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
36	CG7025	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
37	Ntl	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
38	Mur29B	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
39	CG42819	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
40	CR44991	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
41	CG43796	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
42	CG43400	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
43	CG9463	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
44	CG9466	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
45	CG9468	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
46	CG9555	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
47	CG9568	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
48	CG13102	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
49	CG4438	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
50	CG3841	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
51	CG4382	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
52	Cyp4e3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
53	CG17633	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
54	CG42366	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
55	CG33301	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
56	CG34043	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
57	CG5096	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
58	w-cup	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
59	CG14921	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
60	Vha100-5	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
61	CG14932	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
62	CG16965	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
63	CG43813	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
64	Oatp33Eb	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
65	CG43779	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
66	CG33644	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
67	CG16888	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
68	CG33306	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
69	CG7968	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
70	CG18095	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
71	CG15254	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
72	CG15253	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
73	CG7631	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
74	Cyt-b5-r	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
75	CG6012	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
76	elfless	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
77	CG34171	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
78	CG31792	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
79	CR45700	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
80	CG31798	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
81	CG17571	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
82	snoRNA:Psi18S-525c	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
83	CR44980	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
84	CG18810	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
85	CG33322	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
86	CR44911	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
87	CR44269	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
88	CR44917	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
89	CR44918	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
90	CG3635	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
91	TpnC41C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
92	CG30441	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
93	ap	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
94	CG7882	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
95	CG17994	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
96	tomboy40	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
97	CG3270	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
98	Cyp6a2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
99	CR44169	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
100	CR44171	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
101	Tsp42Eq	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
102	fa2h	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
103	CG2070	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
104	CG12826	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
105	CG12824	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
106	CG8791	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
107	CG30376	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
108	Lcp3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
109	Cyp4ad1	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
110	Mal-A2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
111	Mal-A3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
112	Mal-A4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
113	CG14752	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
114	Jon44E	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
115	CR45202	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
116	CR44273	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
117	snoRNA:Psi28S-2949	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
118	CG1809	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
119	CG30339	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
120	CR44292	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
121	CG1690	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
122	CG30008	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
123	CR45134	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
124	BBS4	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
125	lambdaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
126	kappaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
127	zetaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
128	iotaTry	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
129	ths	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
130	Damm	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
131	CG13177	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
132	CG30043	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
133	CG33012	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
134	Cpr49Ad	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
135	CG33626	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
136	CG43204	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
137	CG8785	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
138	vg	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
139	CR44339	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
140	CG10799	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
141	CG18278	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
142	CR44366	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
143	S-Lap7	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
144	CG30484	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
145	CG6553	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
146	CG18568	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
147	Mdr50	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
148	scaRNA:PsiU5-44	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
149	snoRNA:Me28S-C3227a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
150	Cyp6a23	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
151	CG8093	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
152	Hex-C	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
153	CR44370	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
154	CG30088	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
155	CG8299	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
156	Nox	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
157	CG33459	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
158	CG15615	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
159	CR44380	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
160	CG6967	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
161	Amy-p	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
162	CG17290	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
163	CG6484	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
164	snoRNA:Me28S-G3081a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
165	snoRNA:U31:54Ec	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
166	CG10931	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
167	CG10911	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
168	snoRNA:Psi18S-1347b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
169	CG14500	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
170	GstE10	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
171	CG18609	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
172	Jheh3	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
173	CG18607	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
174	CG9975	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
175	CG10051	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
176	CG18367	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
177	CG15127	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
178	CG15126	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
179	CG8654	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
180	CG13423	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
181	CG30148	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
182	CG43308	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
183	CG17999	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
184	CG9993	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
185	otp	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
186	Cht4	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
187	Cht9	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
188	CG9394	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
189	snoRNA:Psi18S-841a	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
190	snoRNA:Psi28S-3316d	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
191	CR43786	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
192	CG30263	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
193	CG18735	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
194	CG13492	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
195	CG13488	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
196	CG30401	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
197	CG3292	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
198	CG3264	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
199	CR44758	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
200	CG3927	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
201	CG30265	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
202	CG12490	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
203	CG9825	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
204	LS2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
205	snoRNA:Psi18S-1820	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
206	CG13577	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
207	CG13587	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
208	CG3650	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
209	ttm2	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
210	CG13905	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
211	CG33965	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
212	scaRNA:MeU2-48	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
213	CG18171	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
214	CG18173	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
215	CG14949	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
216	CG32284	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
217	CG42525	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
218	Cpr64Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
219	CG33514	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
220	CG7509	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
221	CG10592	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
222	CG5150	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
223	snoRNA:Psi28S-1837b	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
224	Jon65Aii	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
225	Jon65Ai	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
226	CG10472	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
227	Lcp65Ag3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
228	Lcp65Aa	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
229	CR44522	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
230	zpg	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
231	CG10064	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
232	Cpr65Ea	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
233	CG8628	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
234	CG32379	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
235	CG8562	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
236	CG18417	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
237	fan	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
238	CG7366	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
239	eIF4E-3	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
240	Jon66Ci	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
241	Jon66Cii	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
242	snoRNA:U49:66Db	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
243	S-Lap2	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
244	CG5804	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
245	CG34427	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
246	CG3222	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
247	CG18179	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
248	CG18180	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
249	CG6409	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
250	Elo68beta	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
251	CG7264	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
252	CG10943	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
253	CG14120	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
254	CG14105	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
255	CG10116	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
256	CG32141	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
257	CG43120	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
258	CG3868	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
259	CR45233	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
260	CG5048	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
